mapped_scenario,FR07,FR07B,FR08,FR08B,FR09,FR09B,FR001B,FR005,FR004,FR006B,FR002B,FR005B,FR004B,FR006,RM04B,RM04C,RM07,RM07B,RM11B,RM09,RM09B,RM13,RMI2,RMI3,RMI5,RMI6,RM06A,RM08,RM10,RM12,RM06B,RM08B,RM10B,RM12B,RM13B,R307B,R312,R312C,R316,R305B,R305C,R316B,R319,R319B,R321,R321B,R303,R303B,R303C,R306B,R306C,R311B,R313,R313B,R314,R314B,R320,R320B,R322,R322B,R324,R324B,VD001B,VD002B,VD003B,VD003C,PT001,RL01B,PT001B,RL01C,VC001,VC001B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMI3,RMI5,RMI6
6返回,rntm12_RC,rntm12_RC,extzgl_pf12,extzgl_pf12,out12_LN,out12_LN,NotificationExitInt,ntfm_exit_int,ntfm_close_int,ntfm_int,NotificationExitInt,ntfm_exit_int,ntfm_close_int,ntfm_int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6返回,rcln13_RC,rcln13_RC,excln_pf13,excln_pf13,baqn13_LN,baqn13_LN,CleanerExitInt,cleaner_exit_int,cleaner_close_int,cleaner_exit_int,CleanerExitInt,cleaner_exit_int,cleaner_close_int,cleaner_exit_int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
引导流程-语言设置页底部默认原生,,,,,,,,,language_nav,,,,language_nav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
图文引导最后一步底部原生,,,,,,,,,guide_nav,,,,guide_nav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
首页底部常驻原生,,,,,,,,,homepage_nav,,,,homepage_nav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扫描准备页+过程页底部原生,,,,,,,,,scanning_nav,,,,scanning_nav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扫描结果内容列表页底部原生,,,,,,,,,scan_result_list_nav,,,,scan_result_list_nav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
各类型内容详情页底部原生,,,,,,,,,info_nav,,,,info_nav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
各类型（含联系人）恢复成功结果页底部原生,,,,,,,,,recovery_success_nav,,,,recovery_success_nav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
删除/清理成功结果页底部原生,,,,,,,,,delete_complete_nav,,,,delete_complete_nav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
